Aditya Birla Capital Ltd, ADTB
Parag Milk Foods Ltd, PAMF
Thyrocare Technologies Ltd, THYO
Ujjivan Financial Services Ltd, UJVF
Max Ventures and Industries Ltd NS, MAXV
Mahanagar Gas Ltd NS, MGAS
Max India Ltd NS, MAID
Quess Corp Ltd NS, QUEC
Larsen Toubro Infotech Ltd, LRTI
Advanced Enzyme Technologies Ltd, ADEN
Prabhat Telecoms (India) Ltd, PRAH
Dilip Buildcon Ltd, DIBL
Future Retail Ltd, FRTL
Andhra Petrochemicals Ltd, ADPE
Albert David Ltd, ALBD
Apollo Pipes Ltd, AOLL
Associated Alcohols & Breweries Ltd, ASAL
Confidence Petroleum India Ltd, CONF
DFM Foods Ltd, DFMF
DIL Ltd, FERM
Dolat Investments Ltd, DOLA
Force Motors Ltd, FORC
GMM Pfaudler Ltd, GMMP
Grauer And Weil India Ltd, GRWN
Jump Networks Ltd, JUMP
Isgec Heavy Engineering Ltd, ISGE
Kennametal India Ltd, KENI
Kirloskar Ferrous Industries Ltd, KRFI
Mangalam Organics Ltd, MANG
Medicamen Biotech Ltd, MEBI
N R Agarwal Industries Ltd, NRAI
National Peroxide Ltd, NTPR
Optiemus Infracom Ltd, OPTI
Apollo Tricoat Tubes Ltd, APOT
Pokarna Ltd, POKR
RBL Bank Ltd, RATB
Sadhana Nitro Chem Ltd, SADH
Safari Industries India Ltd, SAFA
Seya Industries Ltd, SEYA
Shiva Cement Ltd, SHIV
TGV SRAAC Ltd, TGVS
Sandur Manganese and Iron Ores Ltd, SUMG
Tasty Bite Eatables Ltd, TABE
Transpek Industry Ltd, TSPK
Vishal Fabrics Ltd, VIFA
WPIL Ltd, WRTH
Waterbase Ltd, WTRB
Yuken India Ltd, YUKE
BLS International Services Ltd, BLSN
GNA Axles Ltd, GNAA
ICICI Prudential Life Insurance Company Ltd, ICIR
L&T Technology Services Ltd, LTEH
HPL Electric & Power Pvt Ltd, HPLE
Endurance Technologies Cn Ltd, ENDU
PNB Housing Finance Ltd, PNBH
Varun Beverages Ltd, VARB
Laurus Labs Ltd, LAUL
Sheela Foam Ltd, SHEF
TCI Express Ltd, TCIE
Avenue Supermarts Ltd, AVEU
Music Broadcast Ltd, MUSI
Shankara Building Products Ltd, SHAB
S Chand and Company Ltd, SCHA
Housing and Urban Development Corporation Ltd, HUDC
Psp Projects Ltd, PSPP
Eris Lifesciences Ltd, ERIS
Tejas Networks Ltd, TEJS
AU Small Finance Bank Ltd, AUFI
Star Cement Ltd, STAT
Avadh Sugar & Energy Ltd, AVAD
Salasar Techno Engineering Ltd, SALA
Sintex Plastics Technology Ltd, SINT
Apex Frozen Foods Ltd, APEX
Aditya Birla Capital Ltd, ADTB
Cochin Shipyard Ltd, COCH
Kudremukh Iron Ore Co, KIOC
Security and Intelligence Services INDIA Ltd, SECR
Capacite Infraprojects Ltd, CAPE
Dixon Technologies India Pvt Ltd, DIXO
ICICI Lombard General Insurance Company Ltd, ICIL
Reliance Home Finance Ltd, RLIC
SBI Life Insurance Company Ltd, SBIL
Prataap Snacks Ltd, PRAT
Godrej Agrovet Ltd, GODE
Dishman Carbogen Amcis Ltd, DSHM
MAS Financial Services Ltd, MASF
General Insurance Corporation of India, GENA
Indian Energy Exchange Ltd, IIAN
Reliance Nippon Life Asset Management Ltd, RELL
New India Assurance Company Ltd, THEE
Mahindra Logistics Ltd, MALO
HDFC Life Insurance Company Ltd, HDFL
Khadim India Ltd, KHAD
Tube Investments of India Ltd, TBEI
Future Supply Chain Solutions Ltd, FUTE
Shalby Ltd, SHAY
Astron Paper & Board Mill Ltd, ASTO
Apollo Micro Systems Ltd, APLL
Galaxy Surfactants Limited BO, GALX
Amber Enterprises India Ltd, AMBE
Newgen Software Technologies Ltd, NEWG
Aster DM Healthcare Ltd, ATRD
HGInfra Engineering Limited, HGIN
Hindustan Aeronautics Ltd, HIAE
Bandhan Bank Ltd, BANH
Bharat Dynamics Ltd, BARA
Mishra Dhatu Nigam Ltd, MISR
Sandhar Technologies Ltd, SNTL
ICICI Securities Ltd, ICCI
Lemon Tree Hotels, LEMO
IndoStar Capital Finance Ltd, INAC
Varroc Engineering Ltd, VARE
Fine Organic Industries Ltd, FINO
RITES Ltd, RITS
Adani Green Energy Ltd, ADNA
Solara Active Pharma Sciences Ltd, SOLA
Talwalkars Lifestyles Ltd, TLWA
Orient Electric Ltd, ONTE
TCNS Clothing Co Ltd, TCNS
HDFC Asset Management Company Ltd, HDFA
CreditAccess Grameen Ltd, CRDE
Ircon International Ltd, IRCN
Garden Reach Shipbuilders & Engineers Ltd, GRSE
Aavas Financiers Ltd, AVAS
Adani Gas Ltd, ADAG
Spencers Retail Ltd, SPEN
CESC Ventures Ltd, CESV
Chalet Hotels Ltd, CHAL
Anup Engineering Ltd, ANUE
MSTC Ltd, MSTC
Arvind Fashions Ltd, ARVF
Rail Vikas Nigam Ltd, RAIV
Metropolis Healthcare Ltd, METP
Polycab India Ltd, POLC
Neogen Chemicals Ltd, NEOE
KPIT Technologies Ltd, KPIE
Coastal Corporation, COAS
Global Infratech and Finance Ltd, GLOB
IndiaMART InterMESH Ltd, INMR
Affle India Ltd, AFFL
Sterling and Wilson Solar Ltd BO, STEN
Spandana Sphoorty Financial Ltd BO, SPAD
Indian Railway Catering And Tourism Corp, INIR
BCPL Railway Infrastructure Ltd, BCPL
Diksha Greens Ltd, DIKH
Deccan Health Care Ltd, DECN
Roni Households Ltd, RONI
Shankar Lal Rampal Dye-Chem Ltd, SNKA
Axita Cotton Ltd, AXIA
KPI Global Infrastructure Ltd, KPIG
Ritco Logistics Ltd, RICT
Kranti Industries Ltd, KRAI
Anmol India Ltd, ANMI
Gleam Fabmat Ltd, GELA
Mahip Industries Ltd, MAHS
Aartech Solonics Ltd, AART
Humming Bird Education Ltd, HUMM
Roopshri Resorts Ltd, ROOS
Ashapuri Gold Ornament Ltd, ASHD
Northern Spirits Ltd, NORE
Artemis Electricals Ltd, ARTL
Jinaams Dress Ltd, JINM
VR Films & Studios Ltd, VRFI
Cian Healthcare Ltd, CIAH
Evans Electric Ltd, EVAN
G K P Printing & Packaging Ltd, GKPP
Vivid Mercantile Ltd, VIVD
White Organic Retail Ltd, WHIE
Parshva Enterprises Ltd, PAHV
SK International Export Ltd, SKIN
